"","ID","Age","Gender","Residence.Ownership","number.of.dependants","status"
"225",225,46,"MALE","OWNED",3,"GOOD"
"226",226,45,"FEMALE","OWNED",1,"GOOD"
"227",227,25,"FEMALE","OWNED",1,"GOOD"
"228",228,37,"MALE","OWNED",3,"GOOD"
"229",229,31,"FEMALE","OWNED",1,"GOOD"
"230",230,36,"FEMALE","RENT",4,"BAD"
"231",231,34,"MALE","OWNED",2,"BAD"
"232",232,34,"MALE","OTHERS",2,"BAD"
"233",233,25,"FEMALE","OWNED",1,"GOOD"
"234",234,26,"FEMALE","OWNED",0,"GOOD"
"235",235,39,"MALE","OWNED",2,"GOOD"
"236",236,36,"MALE","OWNED",3,"BAD"
"237",237,38,"MALE","OWNED",1,"GOOD"
"238",238,28,"FEMALE","OWNED",1,"GOOD"
"239",239,23,"MALE","PARENTS",1,"BAD"
"240",240,22,"FEMALE","PARENTS",0,"GOOD"
"241",241,43,"MALE","RENT",2,"GOOD"
"242",242,29,"MALE","RENT",0,"BAD"
"243",243,38,"MALE","OWNED",2,"GOOD"
"244",244,34,"MALE","RENT",0,"BAD"
"245",245,33,"MALE","OWNED",4,"GOOD"
"246",246,36,"MALE","OWNED",1,"GOOD"
"247",247,28,"FEMALE","OTHERS",0,"GOOD"
"248",248,35,"MALE","OWNED",4,"BAD"
"249",249,30,"MALE","RENT",3,"BAD"
"250",250,31,"MALE","OWNED",1,"GOOD"
"251",251,36,"MALE","OWNED",2,"BAD"
"252",252,47,"MALE","OWNED",4,"GOOD"
"253",253,39,"FEMALE","OWNED",5,"GOOD"
"254",254,44,"FEMALE","OWNED",5,"GOOD"
"255",255,41,"MALE","OWNED",2,"GOOD"
"256",256,38,"MALE","RENT",5,"BAD"
"257",257,30,"MALE","RENT",0,"GOOD"
"258",258,39,"MALE","OTHERS",0,"BAD"
"259",259,33,"FEMALE","OTHERS",5,"GOOD"
"260",260,27,"MALE","OWNED",0,"BAD"
"261",261,32,"MALE","OTHERS",3,"BAD"
"262",262,26,"MALE","RENT",1,"BAD"
"263",263,41,"FEMALE","RENT",4,"BAD"
"264",264,38,"MALE","RENT",0,"BAD"
"265",265,41,"FEMALE","RENT",3,"BAD"
"266",266,42,"MALE","OTHERS",4,"BAD"
"267",267,33,"MALE","RENT",1,"GOOD"
"268",268,30,"FEMALE","OTHERS",0,"GOOD"
"269",269,35,"MALE","OWNED",4,"GOOD"
"270",270,34,"MALE","PARENTS",0,"BAD"
"271",271,38,"FEMALE","OWNED",5,"GOOD"
"272",272,44,"FEMALE","OWNED",1,"GOOD"
"273",273,35,"FEMALE","RENT",4,"GOOD"
"274",274,31,"MALE","OTHERS",2,"GOOD"
"275",275,41,"FEMALE","RENT",4,"BAD"
"276",276,38,"MALE","RENT",1,"GOOD"
"277",277,33,"MALE","RENT",3,"BAD"
"278",278,29,"MALE","OWNED",1,"GOOD"
"279",279,56,"MALE","OWNED",3,"GOOD"
"280",280,51,"FEMALE","RENT",3,"BAD"
"281",281,39,"FEMALE","OWNED",0,"GOOD"
"282",282,22,"MALE","RENT",1,"BAD"
"283",283,26,"MALE","OWNED",0,"GOOD"
"284",284,32,"FEMALE","RENT",0,"BAD"
"285",285,37,"MALE","RENT",1,"GOOD"
"286",286,30,"MALE","OWNED",1,"GOOD"
"287",287,33,"FEMALE","OWNED",5,"GOOD"
"288",288,41,"MALE","OWNED",2,"GOOD"
"289",289,45,"FEMALE","RENT",2,"BAD"
"290",290,33,"FEMALE","OTHERS",1,"GOOD"
"291",291,43,"MALE","PARENTS",2,"BAD"
"292",292,40,"MALE","OWNED",1,"GOOD"
"293",293,32,"FEMALE","RENT",3,"BAD"
"294",294,38,"MALE","OWNED",0,"GOOD"
"295",295,39,"FEMALE","OWNED",4,"GOOD"
"296",296,40,"FEMALE","PARENTS",4,"GOOD"
"297",297,34,"FEMALE","OWNED",4,"BAD"
"298",298,25,"MALE","RENT",0,"GOOD"
"299",299,36,"MALE","OWNED",5,"GOOD"
"300",300,35,"MALE","RENT",5,"BAD"
"301",301,44,"FEMALE","OWNED",1,"GOOD"
"302",302,43,"MALE","OWNED",0,"GOOD"
"303",303,48,"FEMALE","OWNED",4,"GOOD"
"304",304,21,"FEMALE","PARENTS",0,"GOOD"
"305",305,34,"MALE","RENT",4,"BAD"
"306",306,29,"FEMALE","RENT",0,"BAD"
"307",307,26,"FEMALE","OWNED",0,"GOOD"
"308",308,29,"MALE","OWNED",0,"GOOD"
"309",309,43,"MALE","OWNED",5,"GOOD"
"310",310,28,"FEMALE","OWNED",0,"GOOD"
"311",311,33,"MALE","OWNED",1,"GOOD"
"312",312,36,"FEMALE","OWNED",3,"GOOD"
"313",313,29,"FEMALE","OWNED",1,"GOOD"
"314",314,32,"MALE","PARENTS",2,"GOOD"
"315",315,38,"MALE","OWNED",3,"GOOD"
"316",316,33,"MALE","OWNED",1,"GOOD"
"317",317,31,"MALE","OWNED",5,"BAD"
"318",318,34,"MALE","OWNED",3,"GOOD"
"319",319,45,"MALE","OWNED",3,"GOOD"
"320",320,35,"FEMALE","RENT",3,"GOOD"
"321",321,35,"FEMALE","RENT",3,"GOOD"
"322",322,34,"FEMALE","RENT",3,"BAD"
"323",323,30,"FEMALE","OWNED",2,"GOOD"
"324",324,41,"MALE","OWNED",1,"GOOD"
"325",325,30,"MALE","RENT",3,"BAD"
"326",326,37,"FEMALE","RENT",4,"BAD"
"327",327,34,"FEMALE","OWNED",1,"GOOD"
"328",328,31,"FEMALE","PARENTS",0,"GOOD"
"329",329,46,"FEMALE","OTHERS",0,"GOOD"
"330",330,42,"FEMALE","OTHERS",1,"GOOD"
"331",331,46,"FEMALE","RENT",1,"GOOD"
"332",332,29,"FEMALE","OWNED",1,"GOOD"
"333",333,37,"FEMALE","OWNED",3,"GOOD"
"334",334,27,"MALE","OWNED",0,"GOOD"
"335",335,29,"MALE","RENT",0,"BAD"
"336",336,25,"MALE","RENT",1,"BAD"
"337",337,31,"MALE","OWNED",2,"GOOD"
"338",338,31,"MALE","RENT",2,"GOOD"
"339",339,30,"MALE","OWNED",4,"GOOD"
"340",340,44,"MALE","RENT",1,"BAD"
"341",341,31,"MALE","OWNED",4,"GOOD"
"342",342,32,"FEMALE","OWNED",3,"GOOD"
"343",343,23,"MALE","OWNED",0,"GOOD"
"344",344,28,"FEMALE","OWNED",0,"GOOD"
"345",345,26,"MALE","OWNED",0,"GOOD"
"346",346,21,"FEMALE","PARENTS",0,"BAD"
"347",347,33,"MALE","OWNED",0,"GOOD"
"348",348,34,"FEMALE","RENT",0,"GOOD"
"349",349,43,"MALE","OWNED",0,"GOOD"
"350",350,36,"MALE","OTHERS",3,"BAD"
"351",351,45,"FEMALE","RENT",0,"GOOD"
"352",352,39,"FEMALE","OWNED",2,"GOOD"
"353",353,29,"MALE","OWNED",0,"GOOD"
"354",354,42,"MALE","OTHERS",5,"BAD"
"355",355,34,"FEMALE","PARENTS",1,"GOOD"
"356",356,38,"MALE","RENT",1,"GOOD"
"357",357,43,"MALE","OWNED",0,"GOOD"
"358",358,29,"MALE","OTHERS",0,"GOOD"
"359",359,27,"MALE","OWNED",0,"GOOD"
"360",360,30,"MALE","OTHERS",2,"GOOD"
"361",361,42,"FEMALE","OWNED",3,"GOOD"
"362",362,29,"MALE","OWNED",1,"GOOD"
"363",363,41,"FEMALE","OWNED",1,"GOOD"
"364",364,44,"FEMALE","OWNED",4,"GOOD"
"365",365,40,"MALE","OWNED",0,"GOOD"
"366",366,46,"MALE","OWNED",4,"GOOD"
"367",367,32,"FEMALE","OWNED",4,"GOOD"
"368",368,32,"MALE","RENT",3,"BAD"
"369",369,31,"MALE","OWNED",3,"BAD"
"370",370,34,"MALE","RENT",1,"GOOD"
"371",371,28,"MALE","PARENTS",1,"GOOD"
"372",372,33,"MALE","OWNED",5,"GOOD"
"373",373,30,"MALE","OTHERS",4,"BAD"
"374",374,32,"MALE","OTHERS",4,"BAD"
"375",375,32,"MALE","OWNED",1,"GOOD"
"376",376,46,"MALE","OWNED",1,"GOOD"
"377",377,37,"FEMALE","RENT",3,"BAD"
"378",378,41,"MALE","OWNED",5,"GOOD"
"379",379,39,"FEMALE","OWNED",4,"GOOD"
"380",380,39,"FEMALE","OWNED",2,"GOOD"
"381",381,28,"FEMALE","OWNED",0,"GOOD"
"382",382,32,"MALE","RENT",4,"BAD"
"383",383,32,"FEMALE","PARENTS",2,"GOOD"
"384",384,44,"FEMALE","OWNED",3,"GOOD"
"385",385,41,"MALE","RENT",1,"BAD"
"386",386,40,"FEMALE","RENT",0,"GOOD"
"387",387,45,"MALE","RENT",0,"GOOD"
"388",388,37,"MALE","RENT",4,"BAD"
"389",389,29,"MALE","OTHERS",1,"BAD"
"390",390,24,"MALE","RENT",0,"BAD"
"391",391,37,"FEMALE","OTHERS",5,"GOOD"
"392",392,38,"MALE","PARENTS",1,"GOOD"
"393",393,27,"MALE","RENT",0,"GOOD"
"394",394,40,"FEMALE","OWNED",1,"GOOD"
"395",395,32,"FEMALE","OWNED",4,"GOOD"
"396",396,34,"MALE","OTHERS",4,"BAD"
"397",397,39,"MALE","RENT",4,"BAD"
"398",398,27,"FEMALE","OWNED",0,"GOOD"
"399",399,25,"MALE","OWNED",0,"GOOD"
"400",400,46,"MALE","OWNED",1,"GOOD"
"401",401,39,"MALE","RENT",1,"BAD"
"402",402,39,"FEMALE","OWNED",4,"GOOD"
"403",403,46,"FEMALE","OTHERS",4,"GOOD"
"404",404,39,"MALE","PARENTS",3,"GOOD"
"405",405,34,"MALE","OWNED",1,"GOOD"
"406",406,36,"FEMALE","OWNED",5,"GOOD"
"407",407,37,"FEMALE","RENT",2,"GOOD"
"408",408,36,"FEMALE","OWNED",1,"GOOD"
"409",409,37,"MALE","OWNED",2,"GOOD"
"410",410,30,"MALE","OWNED",4,"GOOD"
"411",411,30,"MALE","OWNED",1,"GOOD"
"412",412,41,"FEMALE","OTHERS",3,"GOOD"
"413",413,35,"FEMALE","RENT",0,"GOOD"
"414",414,47,"MALE","OWNED",2,"GOOD"
"415",415,35,"MALE","OTHERS",5,"BAD"
"416",416,43,"FEMALE","RENT",1,"GOOD"
"417",417,33,"FEMALE","OWNED",5,"BAD"
"418",418,38,"MALE","OTHERS",4,"GOOD"
"419",419,28,"MALE","OWNED",0,"GOOD"
"420",420,47,"FEMALE","RENT",1,"GOOD"
"421",421,29,"MALE","OWNED",0,"GOOD"
"422",422,41,"FEMALE","OTHERS",5,"GOOD"
"423",423,40,"FEMALE","OWNED",4,"GOOD"
"424",424,23,"MALE","PARENTS",0,"GOOD"
"425",425,34,"FEMALE","OWNED",1,"GOOD"
"426",426,29,"MALE","RENT",1,"BAD"
"427",427,32,"MALE","RENT",4,"BAD"
"428",428,43,"FEMALE","OWNED",3,"GOOD"
"429",429,42,"MALE","RENT",1,"BAD"
"430",430,33,"FEMALE","OWNED",5,"GOOD"
"431",431,28,"MALE","RENT",0,"BAD"
"432",432,32,"MALE","OWNED",2,"GOOD"
"433",433,27,"MALE","OWNED",0,"GOOD"
"434",434,21,"MALE","RENT",1,"BAD"
"435",435,42,"MALE","RENT",3,"BAD"
"436",436,40,"FEMALE","OWNED",2,"GOOD"
"437",437,27,"FEMALE","PARENTS",1,"GOOD"
"438",438,44,"MALE","OWNED",3,"GOOD"
"439",439,35,"MALE","RENT",2,"BAD"
"440",440,33,"FEMALE","OTHERS",3,"BAD"
"441",441,44,"FEMALE","RENT",2,"BAD"
"442",442,29,"MALE","OWNED",1,"GOOD"
"443",443,28,"FEMALE","OWNED",0,"GOOD"
"444",444,37,"MALE","OWNED",4,"GOOD"
"445",445,27,"MALE","OWNED",0,"BAD"
"446",446,35,"MALE","OWNED",2,"GOOD"
"447",447,29,"MALE","RENT",1,"BAD"
"448",448,34,"MALE","OTHERS",5,"BAD"
"449",449,27,"MALE","OTHERS",1,"GOOD"
"450",450,40,"FEMALE","OWNED",4,"GOOD"
"451",451,37,"MALE","OWNED",2,"GOOD"
"452",452,34,"FEMALE","PARENTS",1,"GOOD"
"453",453,35,"FEMALE","OWNED",2,"GOOD"
"454",454,34,"MALE","RENT",4,"BAD"
"455",455,44,"MALE","OWNED",1,"GOOD"
"456",456,37,"FEMALE","RENT",3,"BAD"
"457",457,39,"MALE","PARENTS",4,"GOOD"
"458",458,27,"MALE","OWNED",0,"GOOD"
"459",459,42,"FEMALE","OWNED",1,"GOOD"
"460",460,36,"FEMALE","OWNED",1,"GOOD"
"461",461,18,"MALE","OWNED",0,"GOOD"
"462",462,44,"FEMALE","RENT",3,"BAD"
"463",463,34,"MALE","OWNED",5,"BAD"
"464",464,37,"FEMALE","OTHERS",1,"GOOD"
"465",465,31,"MALE","OWNED",0,"GOOD"
"466",466,45,"MALE","OWNED",4,"GOOD"
"467",467,37,"FEMALE","OWNED",2,"GOOD"
"468",468,38,"FEMALE","OWNED",5,"GOOD"
"469",469,35,"MALE","OWNED",3,"GOOD"
"470",470,28,"MALE","OWNED",0,"GOOD"
"471",471,30,"MALE","OWNED",0,"GOOD"
"472",472,39,"MALE","OWNED",1,"GOOD"
"473",473,44,"MALE","PARENTS",1,"GOOD"
"474",474,41,"MALE","RENT",3,"BAD"
"475",475,24,"MALE","OWNED",1,"BAD"
"476",476,41,"MALE","OTHERS",4,"BAD"
"477",477,39,"FEMALE","RENT",0,"GOOD"
"478",478,31,"MALE","OWNED",2,"GOOD"
"479",479,38,"MALE","RENT",5,"BAD"
"480",480,41,"MALE","OWNED",0,"GOOD"
"481",481,33,"MALE","RENT",0,"BAD"
"482",482,41,"FEMALE","OWNED",1,"GOOD"
"483",483,42,"FEMALE","RENT",2,"GOOD"
"484",484,35,"FEMALE","RENT",1,"GOOD"
"485",485,37,"MALE","OWNED",3,"GOOD"
"486",486,35,"FEMALE","RENT",5,"BAD"
"487",487,33,"FEMALE","OWNED",0,"GOOD"
"488",488,30,"FEMALE","OWNED",3,"GOOD"
"489",489,38,"FEMALE","RENT",1,"GOOD"
"490",490,33,"MALE","OWNED",5,"GOOD"
"491",491,36,"FEMALE","OWNED",3,"GOOD"
"492",492,38,"MALE","OWNED",1,"GOOD"
"493",493,28,"MALE","OWNED",0,"GOOD"
"494",494,23,"MALE","OWNED",1,"GOOD"
"495",495,39,"MALE","OWNED",2,"GOOD"
"496",496,32,"FEMALE","RENT",5,"GOOD"
"497",497,28,"MALE","OWNED",1,"BAD"
"498",498,33,"FEMALE","OWNED",4,"GOOD"
"499",499,37,"MALE","RENT",3,"BAD"
"500",500,32,"FEMALE","OWNED",3,"GOOD"
"501",501,38,"MALE","RENT",3,"BAD"
"502",502,45,"MALE","OWNED",4,"GOOD"
"503",503,33,"MALE","RENT",0,"GOOD"
"504",504,23,"MALE","RENT",1,"BAD"
"505",505,34,"MALE","PARENTS",3,"GOOD"
"506",506,33,"MALE","OWNED",3,"GOOD"
"507",507,41,"MALE","RENT",5,"BAD"
"508",508,30,"MALE","OWNED",2,"GOOD"
"509",509,33,"FEMALE","OWNED",3,"GOOD"
"510",510,35,"FEMALE","RENT",2,"GOOD"
"511",511,35,"FEMALE","OTHERS",1,"GOOD"
"512",512,36,"MALE","OWNED",3,"GOOD"
"513",513,40,"FEMALE","OWNED",2,"GOOD"
"514",514,28,"MALE","RENT",1,"BAD"
"515",515,37,"FEMALE","OWNED",4,"GOOD"
"516",516,35,"MALE","RENT",4,"BAD"
"517",517,32,"MALE","OWNED",3,"GOOD"
"518",518,42,"FEMALE","OWNED",5,"GOOD"
"519",519,36,"MALE","OTHERS",1,"BAD"
"520",520,46,"MALE","OWNED",4,"GOOD"
"521",521,37,"FEMALE","RENT",0,"GOOD"
"522",522,37,"MALE","OWNED",5,"GOOD"
"523",523,28,"FEMALE","RENT",1,"GOOD"
"524",524,31,"MALE","OTHERS",1,"GOOD"
"525",525,49,"FEMALE","OWNED",4,"GOOD"
"526",526,37,"MALE","OWNED",4,"GOOD"
"527",527,41,"MALE","RENT",5,"BAD"
"528",528,26,"MALE","RENT",1,"BAD"
