Age,Marital status,Address,Income,Income Category,Car price,Car price category,Education,Emply,Retired,Employment category,Gender,Length at current residence,Wireless,Multiple lines,Voice mail,Pager,Internet,Caller ID,Call waiting,Own TV,Own  VCR ,Own CD player,Own PDA,Own computer,Own Fax,Read newspapers,Response
55,Single,8,283.00,HIGH,77.40,Luxury,S1,11,0,2,Female,1,1,0,0,0,0,1,0,1,1,1,0,Yes,1,0,0
35,Single,8,70.00,UPPER,35.40,Luxury,S1,9,0,2,Male,1,0,1,1,0,1,0,0,1,1,1,0,Yes,0,0,1
45,Single,4,48.00,MIDDLE,25.00,Expensive,D3,7,0,2,Female,1,0,0,0,1,0,1,1,1,1,1,0,No,0,1,1
21,Single,1,37.00,MIDDLE,18.40,Expensive,S1,0,0,1,Male,3,0,1,0,0,0,0,0,1,1,1,0,Yes,0,1,1
32,Single,0,28.00,MIDDLE,14.20,Cheap,SMA,2,0,1,Female,4,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
42,Single,9,109.00,HIGH,54.00,Luxury,S1,20,0,3,Female,1,1,0,0,0,1,0,0,1,1,1,0,Yes,0,0,1
40,Married,12,117.00,HIGH,59.80,Luxury,D3,19,0,3,Female,4,1,0,1,0,0,1,1,1,1,1,0,No,0,1,1
36,Single,6,39.00,MIDDLE,19.20,Expensive,D3,0,0,1,Female,7,0,1,0,0,0,0,0,1,1,1,0,No,0,0,1
42,Married,13,53.00,UPPER,25.90,Expensive,D3,6,0,2,Male,5,0,1,1,0,0,0,1,1,1,1,0,Yes,0,1,1
65,Married,17,42.00,MIDDLE,21.30,Expensive,D3,24,0,3,Male,2,0,1,1,0,0,1,1,1,1,1,0,No,0,1,0
52,Married,5,83.00,HIGH,40.90,Luxury,SMA,24,0,3,Male,4,0,0,0,1,0,0,1,1,1,1,0,No,0,0,1
51,Married,17,148.00,HIGH,73.70,Luxury,S2,10,0,2,Male,3,1,1,1,1,0,1,1,1,1,1,1,Yes,1,0,1
44,Married,1,29.00,MIDDLE,14.30,Cheap,D3,5,0,2,Male,2,1,0,0,0,0,1,0,1,1,1,0,No,0,0,1
26,Single,6,28.00,MIDDLE,14.00,Cheap,S2,1,0,1,Female,1,1,1,0,0,1,0,0,1,1,1,0,Yes,0,1,1
41,Married,19,70.00,UPPER,35.10,Luxury,D3,17,0,3,Female,3,1,0,1,0,0,0,1,1,1,1,0,Yes,0,0,0
49,Single,11,40.00,MIDDLE,20.10,Expensive,SMA,8,0,2,Male,4,0,0,0,0,0,0,0,1,1,1,0,Yes,0,0,1
64,Single,36,102.00,HIGH,49.00,Luxury,S1,22,1,3,Female,1,1,1,1,1,0,1,0,1,1,1,0,No,0,0,1
39,Single,8,60.00,UPPER,30.20,Luxury,S2,11,0,2,Male,2,0,0,1,0,1,1,0,1,1,1,1,Yes,1,1,1
53,Single,8,78.00,HIGH,38.30,Luxury,D3,17,0,3,Male,1,0,0,0,0,0,0,1,1,1,1,0,No,0,1,1
38,Married,17,43.00,MIDDLE,20.90,Expensive,S1,11,0,2,Female,3,1,1,1,1,1,0,0,1,1,1,0,No,1,0,1
46,Married,6,31.00,MIDDLE,16.20,Expensive,SMA,15,0,3,Female,2,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
58,Single,2,60.00,UPPER,29.10,Expensive,S2,1,0,1,Male,1,0,1,0,0,0,0,0,1,1,1,0,Yes,0,0,1
25,Single,0,58.00,UPPER,28.80,Expensive,S1,4,0,1,Female,1,1,0,1,1,1,1,1,1,1,1,1,Yes,1,1,1
57,Single,28,92.00,HIGH,46.60,Luxury,D3,25,0,3,Female,3,0,0,0,0,0,1,1,1,1,1,0,Yes,0,0,1
47,Single,21,48.00,MIDDLE,24.00,Expensive,SMA,23,0,3,Male,1,0,0,0,0,0,0,1,1,1,1,0,No,0,0,1
21,Single,0,13.00,LOW,6.40,Cheap,S1,0,0,1,Female,5,0,0,0,0,0,0,1,1,1,1,0,No,0,1,1
45,Married,21,67.00,UPPER,34.10,Luxury,SMA,20,0,3,Female,2,1,0,1,0,0,1,1,1,1,1,0,No,1,0,1
56,Single,7,213.00,HIGH,70.60,Luxury,S2,30,0,3,Female,1,1,0,1,0,0,1,1,1,1,1,1,Yes,0,1,1
24,Single,2,19.00,LOW,9.60,Cheap,D3,0,0,1,Male,1,0,0,0,0,0,1,1,1,1,1,0,No,1,0,0
41,Single,13,59.00,UPPER,28.90,Expensive,S1,17,0,3,Male,1,1,0,0,0,1,1,1,1,1,1,0,No,0,1,1
22,Single,0,45.00,MIDDLE,21.30,Expensive,S2,0,0,1,Female,3,0,0,0,0,0,0,0,1,1,1,0,Yes,0,1,1
54,Married,9,35.00,MIDDLE,18.10,Expensive,D3,7,0,2,Male,2,1,1,1,1,1,1,0,1,1,1,1,No,0,0,1
49,Single,0,94.00,HIGH,47.60,Luxury,D3,17,0,3,Female,3,1,1,0,0,0,0,0,1,1,1,1,No,0,1,1
49,Single,12,35.00,MIDDLE,17.40,Expensive,SMA,4,0,1,Male,1,0,0,0,0,0,1,0,1,1,1,0,No,0,1,1
51,Single,0,47.00,MIDDLE,23.30,Expensive,S3,3,0,1,Female,1,0,1,1,1,0,1,1,1,1,1,1,Yes,1,0,0
58,Married,10,873.00,HIGH,73.60,Luxury,D3,34,0,3,Female,2,1,0,0,0,0,1,1,1,1,1,0,No,0,1,1
30,Single,10,41.00,MIDDLE,20.00,Expensive,S2,4,0,1,Male,1,0,1,0,0,1,1,1,1,1,1,0,Yes,0,0,1
48,Single,22,109.00,HIGH,55.40,Luxury,S2,8,0,2,Male,1,1,1,0,1,1,1,1,1,1,1,0,Yes,0,1,1
36,Single,17,86.00,HIGH,41.90,Luxury,S2,12,0,2,Female,1,1,0,1,0,0,0,1,1,1,1,0,No,0,1,1
33,Single,1,37.00,MIDDLE,18.30,Expensive,D3,3,0,1,Female,1,1,0,0,0,0,1,1,1,1,1,0,Yes,0,1,1
51,Single,5,30.00,MIDDLE,14.60,Cheap,D3,6,0,2,Female,1,0,0,1,0,0,0,1,1,0,1,0,Yes,0,1,1
45,Married,0,38.00,MIDDLE,18.80,Expensive,S2,4,0,1,Female,4,0,0,1,0,1,0,0,1,1,1,0,Yes,0,1,1
56,Married,12,50.00,UPPER,24.60,Expensive,SMA,11,0,2,Female,2,0,0,1,0,0,1,1,1,1,1,0,No,0,0,1
48,Married,7,41.00,MIDDLE,19.70,Expensive,D3,15,0,3,Male,4,0,1,1,0,0,0,1,1,1,1,0,Yes,0,0,0
53,Single,10,52.00,UPPER,26.20,Expensive,D3,8,0,2,Female,1,0,0,1,0,0,0,1,1,1,1,0,No,0,0,1
28,Single,9,28.00,MIDDLE,14.30,Cheap,D3,6,0,2,Male,1,0,0,0,0,0,1,1,1,1,1,0,No,0,1,1
23,Married,1,15.00,LOW,7.30,Cheap,D3,2,0,1,Male,4,0,1,0,0,0,0,0,1,1,0,0,No,0,1,1
67,Married,6,44.00,MIDDLE,21.70,Expensive,S1,2,0,1,Female,2,1,0,0,0,0,1,1,1,0,1,0,Yes,0,1,1
68,Married,41,25.00,MIDDLE,12.20,Cheap,D3,10,1,2,Male,2,0,1,1,1,0,0,0,1,1,1,0,No,0,0,1
56,Married,5,46.00,MIDDLE,23.50,Expensive,D3,9,0,2,Male,3,1,1,1,0,0,1,0,1,1,1,0,No,0,0,0
43,Married,8,109.00,HIGH,53.70,Luxury,D3,20,0,3,Female,2,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
28,Single,7,24.00,LOW,11.90,Cheap,S1,2,0,1,Male,1,1,0,1,0,1,0,1,1,1,1,0,Yes,0,1,1
39,Single,6,57.00,UPPER,27.80,Expensive,S1,12,0,2,Female,1,1,1,1,0,0,1,0,1,1,1,1,Yes,0,1,1
37,Single,16,24.00,LOW,11.60,Cheap,S1,7,0,2,Male,1,1,0,0,0,1,0,0,1,1,1,0,Yes,0,1,1
32,Married,3,30.00,MIDDLE,14.70,Cheap,S1,7,0,2,Female,2,1,0,0,0,1,1,0,1,1,1,0,No,0,0,1
55,Single,29,65.00,UPPER,32.70,Luxury,S2,10,0,2,Female,1,1,1,0,1,0,1,1,1,1,1,1,Yes,1,0,1
44,Married,15,60.00,UPPER,30.60,Luxury,S1,14,0,2,Female,2,1,1,0,0,1,1,1,1,1,1,1,No,0,0,1
48,Single,28,321.00,HIGH,78.20,Luxury,S3,11,0,2,Male,1,1,1,1,0,1,1,0,1,1,1,0,Yes,1,0,1
36,Single,8,51.00,UPPER,25.00,Expensive,S1,3,0,1,Male,1,0,0,0,0,1,1,0,1,1,1,0,Yes,0,1,1
28,Married,1,67.00,UPPER,32.90,Luxury,SMA,7,0,2,Female,6,0,1,1,0,1,1,0,1,1,1,0,No,0,0,1
38,Married,12,50.00,UPPER,25.60,Expensive,S1,9,0,2,Male,6,0,0,1,0,0,0,0,1,1,1,0,No,0,0,1
30,Married,0,20.00,LOW,10.30,Cheap,S1,3,0,1,Female,4,1,0,1,0,0,1,0,1,1,1,0,No,0,1,1
19,Married,0,13.00,LOW,6.60,Cheap,D3,0,0,1,Female,3,0,0,0,0,0,0,0,1,0,1,0,Yes,0,1,1
39,Single,2,43.00,MIDDLE,21.30,Expensive,S2,8,0,2,Male,1,1,1,0,0,1,1,1,1,1,1,1,Yes,1,1,1
51,Single,10,75.00,HIGH,37.80,Luxury,S2,6,0,2,Female,1,0,0,1,0,0,1,1,1,1,1,0,No,0,1,1
41,Single,20,248.00,HIGH,71.50,Luxury,S2,6,0,2,Female,1,1,1,0,1,1,1,1,1,1,1,0,Yes,0,0,1
38,Single,7,42.00,MIDDLE,20.80,Expensive,D3,3,0,1,Male,1,0,0,0,0,0,0,1,1,1,1,0,No,0,1,1
56,Married,34,376.00,HIGH,75.50,Luxury,SMA,35,0,3,Female,2,0,0,0,0,0,0,1,1,1,1,0,No,1,1,1
54,Single,1,28.00,MIDDLE,14.00,Cheap,S1,1,0,1,Male,1,1,1,1,0,0,1,1,1,1,1,1,Yes,0,1,1
46,Married,0,23.00,LOW,11.70,Cheap,S1,1,0,1,Female,5,1,0,1,0,0,1,1,1,1,1,0,Yes,1,1,1
40,Single,11,34.00,MIDDLE,16.70,Expensive,SMA,14,0,2,Female,1,0,1,1,1,0,0,1,1,1,1,0,No,0,0,1
30,Single,4,23.00,LOW,11.70,Cheap,S2,3,0,1,Female,1,0,0,0,0,1,0,0,1,1,1,0,No,0,1,1
29,Single,2,25.00,MIDDLE,12.10,Cheap,D3,10,0,2,Male,3,0,0,0,0,0,0,1,1,0,1,0,No,0,0,1
30,Single,10,27.00,MIDDLE,13.40,Cheap,SMA,3,0,1,Female,1,0,0,0,0,0,0,1,1,1,1,0,No,0,0,1
53,Single,8,168.00,HIGH,87.10,Luxury,S1,24,0,3,Male,1,0,0,1,1,1,1,1,1,1,1,0,Yes,0,1,0
51,Married,24,140.00,HIGH,69.60,Luxury,SMA,32,0,3,Male,2,1,0,1,1,0,1,1,1,1,1,0,No,0,0,0
40,Married,15,57.00,UPPER,28.10,Expensive,S2,12,0,2,Male,2,1,1,0,0,1,0,0,1,1,1,0,Yes,0,1,1
66,Married,34,30.00,MIDDLE,15.20,Expensive,SMA,4,0,1,Female,4,0,1,1,1,0,0,1,1,1,1,0,No,0,1,1
61,Married,18,23.00,LOW,11.50,Cheap,D3,27,1,3,Male,2,0,1,0,0,0,1,0,1,1,1,0,No,0,0,0
61,Single,6,64.00,UPPER,32.60,Luxury,S1,25,0,3,Female,1,0,1,0,0,1,0,1,1,1,1,1,Yes,1,1,1
23,Single,0,19.00,LOW,9.50,Cheap,S2,0,0,1,Male,1,0,1,0,0,0,0,0,1,1,1,1,Yes,0,0,0
51,Married,26,86.00,HIGH,43.60,Luxury,S1,10,0,2,Male,3,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
47,Married,1,28.00,MIDDLE,13.90,Cheap,S1,8,0,2,Male,8,1,1,1,0,1,1,1,1,1,1,0,Yes,1,0,1
59,Married,18,209.00,HIGH,75.30,Luxury,D3,22,0,3,Female,2,1,1,0,1,0,1,1,1,1,1,1,No,0,0,0
25,Married,5,27.00,MIDDLE,13.10,Cheap,D3,2,0,1,Female,3,0,0,0,0,0,0,1,1,1,1,0,No,0,1,1
63,Single,31,478.00,HIGH,72.40,Luxury,SMA,45,0,3,Male,2,0,0,1,0,0,0,0,1,1,1,0,No,0,0,1
41,Married,8,49.00,MIDDLE,23.60,Expensive,S2,14,0,2,Female,6,1,1,0,0,8,1,1,1,1,1,0,No,0,1,1
63,Married,10,246.00,HIGH,65.20,Luxury,S2,28,0,3,Male,3,1,1,1,0,1,1,1,1,1,1,1,Yes,1,0,1
41,Married,3,27.00,MIDDLE,13.50,Cheap,D3,4,0,1,Female,4,0,1,0,0,0,0,0,1,1,1,0,No,0,1,1
47,Married,16,64.00,UPPER,32.50,Luxury,S1,23,0,3,Female,2,1,0,1,0,1,1,0,1,1,1,1,Yes,1,0,1
42,Married,9,49.00,MIDDLE,24.20,Expensive,SMA,12,0,2,Female,2,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
35,Married,5,49.00,MIDDLE,24.50,Expensive,S2,9,0,2,Female,2,1,0,0,0,0,0,1,1,1,1,0,Yes,0,1,1
24,Single,2,23.00,LOW,11.60,Cheap,S2,1,0,1,Male,1,0,0,0,0,0,0,1,1,1,1,0,No,0,0,1
22,Single,3,23.00,LOW,11.90,Cheap,S2,0,0,1,Female,1,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
32,Married,12,59.00,UPPER,29.20,Expensive,S3,5,0,2,Male,4,1,1,0,0,1,1,1,1,1,1,0,Yes,1,0,1
50,Married,20,58.00,UPPER,29.90,Expensive,SMA,8,0,2,Male,2,0,1,0,0,1,0,0,1,1,1,0,Yes,0,1,1
44,Married,8,46.00,MIDDLE,22.90,Expensive,SMA,18,0,3,Male,2,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
32,Married,12,31.00,MIDDLE,15.00,Expensive,S2,1,0,1,Male,2,1,1,1,1,8,1,1,0,1,1,0,Yes,0,1,1
65,Single,43,40.00,MIDDLE,20.40,Expensive,SMA,10,0,2,Female,1,0,0,1,0,0,1,0,1,1,1,0,No,0,0,1
47,Single,21,181.00,HIGH,90.30,Luxury,D3,21,0,3,Female,3,1,0,1,0,0,0,1,1,1,1,0,No,0,1,1
41,Single,13,79.00,HIGH,39.00,Luxury,S1,16,0,3,Male,1,1,0,0,0,1,0,1,1,1,1,0,Yes,0,1,1
48,Single,29,144.00,HIGH,70.90,Luxury,D3,14,0,2,Female,1,0,1,1,0,1,0,0,1,1,1,0,Yes,0,0,1
29,Married,4,22.00,LOW,11.10,Cheap,S2,0,0,1,Male,3,1,1,0,0,1,0,1,1,1,1,1,Yes,0,1,1
32,Single,0,25.00,MIDDLE,12.30,Cheap,SMA,13,0,2,Male,1,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
30,Single,1,51.00,UPPER,25.90,Expensive,SMA,14,0,2,Female,1,0,0,0,0,0,1,0,1,1,1,0,No,0,1,1
53,Single,34,136.00,HIGH,66.30,Luxury,S2,21,0,3,Female,1,1,1,1,0,0,0,0,1,1,1,0,Yes,1,0,1
58,Single,27,385.00,HIGH,77.80,Luxury,D3,34,0,3,Male,2,1,1,1,0,1,0,1,1,1,1,0,No,0,0,1
26,Single,6,41.00,MIDDLE,20.30,Expensive,D3,0,0,1,Male,3,0,0,1,0,0,1,1,1,1,1,0,No,0,1,1
25,Married,6,23.00,LOW,11.00,Cheap,S2,0,0,1,Male,5,1,0,0,0,0,1,0,1,1,1,0,No,1,0,1
51,Married,20,78.00,HIGH,38.30,Luxury,D3,14,0,2,Female,5,0,1,0,1,1,1,0,1,1,1,0,Yes,0,0,1
62,Married,5,49.00,MIDDLE,24.60,Expensive,D3,7,0,2,Female,2,0,0,0,0,0,0,0,1,1,1,0,No,0,0,1
46,Single,7,83.00,HIGH,40.00,Luxury,D3,14,0,2,Female,1,0,0,0,0,0,0,0,1,1,1,0,Yes,0,1,1
32,Married,13,45.00,MIDDLE,22.30,Expensive,D3,7,0,2,Male,4,1,1,1,1,0,1,1,1,1,1,1,No,0,0,1
50,Married,3,40.00,MIDDLE,20.70,Expensive,S2,1,0,1,Male,6,0,0,0,0,0,1,0,1,1,1,0,No,0,1,1
30,Married,1,30.00,MIDDLE,14.70,Cheap,D3,9,0,2,Male,4,0,1,1,0,0,0,0,1,1,1,0,Yes,0,0,1
54,Single,21,39.00,MIDDLE,19.40,Expensive,SMA,7,0,2,Female,1,0,1,1,0,0,1,0,1,1,1,0,Yes,0,0,1
29,Married,3,76.00,HIGH,37.70,Luxury,S2,4,0,1,Female,2,0,0,0,0,1,1,0,1,1,0,0,Yes,1,1,1
44,Married,13,74.00,UPPER,37.10,Luxury,D3,12,0,2,Female,2,1,1,0,1,8,1,1,1,1,1,0,No,0,1,1
23,Single,0,24.00,LOW,11.90,Cheap,S2,0,0,1,Male,1,1,0,0,0,1,0,1,1,1,1,1,Yes,1,1,1
35,Single,7,56.00,UPPER,28.40,Expensive,S2,1,0,1,Female,1,0,0,0,0,0,0,0,1,1,1,0,Yes,0,1,1
24,Single,5,22.00,LOW,11.10,Cheap,D3,0,0,1,Male,2,0,0,0,1,0,0,1,1,1,1,1,Yes,0,1,1
49,Married,21,117.00,HIGH,57.80,Luxury,S1,16,0,3,Female,5,1,1,1,0,1,0,0,1,1,1,0,Yes,0,0,1
51,Married,1,130.00,HIGH,64.70,Luxury,S3,18,0,3,Female,3,1,1,1,0,0,1,1,1,1,1,1,No,0,0,1
32,Single,1,26.00,MIDDLE,13.30,Cheap,S1,7,0,2,Male,2,0,1,0,0,0,0,0,1,1,1,0,Yes,0,1,1
56,Married,1,36.00,MIDDLE,17.90,Expensive,SMA,13,0,2,Male,2,0,0,1,0,0,0,0,1,1,1,0,No,0,1,1
38,Married,14,48.00,MIDDLE,21.90,Expensive,S1,1,0,1,Female,6,1,1,0,0,0,0,0,1,1,1,0,No,1,0,1
61,Married,8,11.00,LOW,5.40,Cheap,D3,14,1,2,Male,2,0,0,0,0,0,1,1,0,0,0,0,No,0,1,0
55,Single,13,188.00,HIGH,94.30,Luxury,D3,33,0,3,Male,1,0,1,0,0,1,1,1,1,1,1,0,No,0,0,1
48,Married,3,25.00,MIDDLE,12.70,Cheap,S2,5,0,2,Female,2,0,1,1,0,0,0,0,1,1,1,0,No,0,0,1
51,Married,2,48.00,MIDDLE,24.00,Expensive,S1,7,0,2,Male,3,1,1,0,0,1,1,1,1,1,1,0,No,0,1,0
20,Married,0,19.00,LOW,9.60,Cheap,D3,1,0,1,Male,8,0,0,0,0,0,0,0,1,1,1,0,No,0,0,1
68,Married,23,22.00,LOW,10.80,Cheap,D3,24,1,3,Male,2,0,0,0,0,0,0,0,1,1,1,0,No,0,1,1
46,Single,23,31.00,MIDDLE,15.30,Expensive,SMA,11,0,2,Female,1,1,0,1,0,0,0,1,1,1,1,1,No,0,1,1
35,Married,15,59.00,UPPER,31.00,Luxury,D3,3,0,1,Male,4,0,0,0,0,1,1,1,1,1,1,0,No,0,0,1
23,Single,3,13.00,LOW,6.40,Cheap,D3,1,0,1,Male,1,0,0,0,0,0,1,0,1,0,1,0,Yes,0,1,1
72,Single,49,23.00,LOW,11.50,Cheap,S2,11,1,2,Female,1,1,1,0,1,0,1,0,1,1,1,0,Yes,0,0,0
21,Married,2,17.00,LOW,8.50,Cheap,D3,0,0,1,Male,4,0,0,0,0,0,1,0,1,1,1,0,No,0,1,1
57,Married,24,181.00,HIGH,90.00,Luxury,S1,14,0,2,Female,2,1,1,1,0,1,1,1,1,1,1,0,Yes,1,0,1
36,Single,2,40.00,MIDDLE,19.30,Expensive,S2,8,0,2,Male,1,1,1,0,0,1,1,0,1,1,1,1,Yes,0,1,1
61,Single,17,837.00,HIGH,75.70,Luxury,D3,42,0,3,Male,1,0,1,1,1,0,1,1,1,1,1,1,Yes,0,0,1
27,Married,8,43.00,MIDDLE,20.60,Expensive,S2,0,0,1,Male,4,1,1,1,0,1,0,1,1,1,1,0,Yes,1,1,1
44,Single,15,100.00,HIGH,49.70,Luxury,SMA,27,0,3,Male,3,0,1,0,0,1,0,1,1,1,1,0,Yes,0,0,1
43,Married,5,144.00,HIGH,72.50,Luxury,SMA,24,0,3,Male,2,0,0,1,1,0,1,1,1,1,1,0,No,0,1,1
32,Single,12,54.00,UPPER,27.10,Expensive,D3,6,0,2,Male,2,0,1,0,0,1,0,1,1,1,1,1,No,0,0,1
28,Married,7,86.00,HIGH,42.40,Luxury,S3,0,0,1,Female,2,1,0,0,0,0,1,1,1,1,1,0,Yes,0,1,1
27,Single,0,25.00,MIDDLE,12.30,Cheap,D3,1,0,1,Female,2,0,0,1,0,0,1,0,1,1,1,0,No,0,0,1
46,Married,23,34.00,MIDDLE,16.60,Expensive,SMA,14,0,2,Male,6,1,1,0,0,0,0,0,1,1,1,0,No,0,0,0
51,Single,13,51.00,UPPER,26.30,Expensive,D3,14,0,2,Female,3,1,0,0,0,0,0,1,1,1,1,0,Yes,0,1,1
21,Single,0,25.00,MIDDLE,12.60,Cheap,S1,0,0,1,Female,3,0,0,0,0,0,0,0,1,0,1,0,Yes,0,1,1
38,Single,3,29.00,MIDDLE,14.50,Cheap,SMA,5,0,2,Female,1,0,0,0,0,0,0,0,1,1,1,0,No,0,1,0
41,Single,1,69.00,UPPER,35.10,Luxury,D3,18,0,3,Male,2,1,0,0,0,1,0,1,1,1,1,0,Yes,0,0,1
47,Single,22,232.00,HIGH,72.60,Luxury,S1,22,0,3,Female,1,1,1,0,1,1,1,0,1,1,1,1,Yes,0,0,1
37,Single,18,46.00,MIDDLE,22.80,Expensive,SMA,19,0,3,Female,1,0,0,1,1,0,1,1,1,1,1,0,No,0,0,1
51,Married,12,32.00,MIDDLE,15.90,Expensive,S1,2,0,1,Female,4,1,1,0,1,0,0,0,1,1,1,0,No,0,0,0
48,Married,16,29.00,MIDDLE,14.90,Cheap,S2,19,0,3,Male,4,1,1,1,0,1,1,1,1,1,1,0,Yes,1,0,1
41,Married,10,67.00,UPPER,32.90,Luxury,D3,21,0,3,Female,2,0,0,0,0,1,0,0,1,1,1,0,No,0,0,1
27,Single,6,31.00,MIDDLE,15.90,Expensive,D3,9,0,2,Female,3,0,0,1,0,0,1,0,1,1,1,0,No,0,1,0
24,Single,5,13.00,LOW,6.40,Cheap,D3,2,0,1,Male,1,0,0,0,0,0,0,0,1,1,1,0,Yes,0,1,1
30,Married,8,38.00,MIDDLE,19.00,Expensive,D3,3,0,1,Male,4,1,0,0,0,1,0,0,1,1,1,0,No,0,1,1
39,Single,15,35.00,MIDDLE,17.40,Expensive,S1,6,0,2,Male,1,0,0,1,0,0,0,0,1,1,1,0,Yes,0,1,1
38,Married,14,29.00,MIDDLE,14.00,Cheap,S2,7,0,2,Female,2,1,1,0,1,1,1,1,1,1,1,0,Yes,0,0,1
45,Single,12,70.00,UPPER,35.30,Luxury,S1,11,0,2,Female,2,1,1,0,0,1,1,0,1,1,1,0,No,0,0,1
44,Married,24,25.00,MIDDLE,12.20,Cheap,SMA,1,0,1,Female,3,0,0,0,1,1,1,0,1,1,1,0,No,0,1,1
38,Single,12,24.00,LOW,12.00,Cheap,D3,6,0,2,Male,3,0,0,0,0,0,1,1,1,1,1,0,No,0,1,1
32,Single,7,25.00,MIDDLE,12.70,Cheap,S2,4,0,1,Female,2,0,1,1,0,1,0,0,1,1,1,0,Yes,0,1,1
35,Single,7,37.00,MIDDLE,18.50,Expensive,S1,9,0,2,Male,1,1,0,0,0,0,0,0,1,1,1,0,Yes,0,1,0
58,Married,19,19.00,LOW,9.20,Cheap,D3,3,0,1,Male,2,0,0,1,0,1,0,0,1,1,1,0,No,0,1,1
31,Married,10,27.00,MIDDLE,13.30,Cheap,SMA,8,0,2,Male,4,0,0,1,0,0,0,0,1,1,1,0,No,0,1,1
43,Married,21,107.00,HIGH,53.50,Luxury,D3,15,0,3,Male,2,0,0,1,1,0,1,1,1,1,1,1,No,0,0,0
38,Married,18,77.00,HIGH,38.10,Luxury,D3,16,0,3,Female,4,0,1,1,0,0,1,1,1,1,1,0,No,0,0,1
64,Single,40,16.00,LOW,8.00,Cheap,SMA,25,1,3,Female,1,1,1,0,1,1,1,0,1,1,1,0,Yes,0,0,1
62,Single,21,17.00,LOW,8.50,Cheap,S1,16,1,3,Female,1,0,0,0,0,0,0,0,1,1,1,0,Yes,0,0,1
44,Single,13,104.00,HIGH,52.10,Luxury,D3,11,0,2,Female,3,0,1,0,0,0,0,1,1,1,1,0,No,1,1,1
41,Married,9,25.00,MIDDLE,12.60,Cheap,D3,2,0,1,Female,4,1,1,0,1,1,1,0,1,1,1,0,No,0,0,1
26,Married,7,15.00,LOW,7.50,Cheap,SMA,0,0,1,Male,3,0,0,1,0,0,1,1,1,0,0,0,No,0,1,0
48,Single,27,371.00,HIGH,78.70,Luxury,S2,20,0,3,Female,1,1,1,1,0,1,1,1,1,1,1,1,No,1,1,1
76,Single,51,24.00,LOW,11.70,Cheap,S2,25,1,3,Female,1,1,1,1,0,1,0,0,1,1,1,0,Yes,0,0,1
60,Married,18,355.00,HIGH,77.70,Luxury,S1,28,0,3,Male,4,0,1,0,1,0,0,1,1,1,1,0,No,0,0,1
26,Married,0,20.00,LOW,10.40,Cheap,SMA,4,0,1,Male,3,0,1,0,0,0,0,0,1,1,1,0,Yes,0,1,1
53,Married,30,42.00,MIDDLE,21.60,Expensive,S2,2,0,1,Male,2,0,0,1,0,0,0,0,1,1,1,0,No,0,0,1
